248,Enes Kanter,POR,72.00,24.40,-0.97,-0.05,-1.02,1.57
249,Justin Jackson,MIL,34.00,17.00,0.61,-1.63,-1.02,0.55
250,DeAndre Jordan,BKN,57.00,21.90,-1.15,0.13,-1.02,1.12
251,Willy Hernangomez,NOP,47.00,18.00,-0.28,-0.76,-1.04,0.84
252,Delon Wright,SAC,63.00,27.70,-1.24,0.19,-1.05,1.60
253,Nicolas Claxton,BKN,32.00,18.60,-0.35,-0.70,-1.05,0.55
254,Robert Woodard II,SAC,13.00,3.50,-0.64,-0.42,-1.06,0.06
255,Luke Kornet,BOS,31.00,11.20,-0.64,-0.44,-1.08,0.37
256,Jalen Brunson,DAL,68.00,25.00,1.10,-2.19,-1.08,1.62
257,Nickeil Alexander-Walker,NOP,46.00,21.90,0.42,-1.52,-1.10,0.90
258,Danilo Gallinari,ATL,51.00,24.00,1.47,-2.57,-1.10,1.22
259,Robin Lopez,WAS,71.00,19.10,-0.11,-1.00,-1.11,1.30
260,Cassius Winston,WAS,22.00,4.50,0.13,-1.24,-1.11,0.10
261,Gorgui Dieng,SAS,38.00,14.60,0.58,-1.70,-1.12,0.55
262,Mo Bamba,ORL,46.00,15.80,0.35,-1.48,-1.13,0.67
263,Jahmi'us Ramsey,SAC,13.00,7.20,0.01,-1.14,-1.13,0.08
264,Isaiah Stewart,DET,68.00,21.40,-0.78,-0.35,-1.14,1.39
265,Anthony Edwards,MIN,72.00,32.10,-0.22,-0.92,-1.14,1.93
266,Jaylen Hoard,OKC,19.00,16.80,-0.51,-0.63,-1.14,0.27
267,Mamadi Diakite,MIL,14.00,10.10,-0.97,-0.18,-1.14,0.11
268,Alex Caruso,LAL,58.00,21.00,-0.08,-1.06,-1.15,1.18
269,Dean Wade,CLE,63.00,19.20,-0.36,-0.79,-1.16,1.04
270,Trey Lyles,SAS,23.00,15.60,-0.36,-0.80,-1.16,0.32
271,Kevon Looney,GSW,61.00,19.00,-2.63,1.47,-1.16,0.92
272,Yuta Watanabe,TOR,50.00,14.50,-0.39,-0.78,-1.17,0.67
273,Raul Neto,WAS,64.00,21.90,0.39,-1.58,-1.19,1.25
274,Didi Louzada,NOP,3.00,18.70,-0.28,-0.90,-1.19,0.04
275,Nerlens Noel,NYK,64.00,24.20,-3.45,2.25,-1.21,1.05
276,Naz Reid,MIN,70.00,19.20,0.13,-1.35,-1.22,1.15
277,Terence Davis,SAC,61.00,17.60,1.79,-3.02,-1.23,0.92
278,Wesley Matthews,LAL,58.00,19.50,-1.12,-0.12,-1.24,0.89
279,JaMychal Green,DEN,58.00,19.30,-0.04,-1.23,-1.27,0.85
280,Louis King,SAC,6.00,14.20,-0.03,-1.24,-1.27,0.04
281,Moritz Wagner,ORL,45.00,16.00,-0.72,-0.56,-1.28,0.47
282,Denzel Valentine,CHI,62.00,16.70,0.63,-1.92,-1.28,0.87
283,Derrick Jones Jr,POR,58.00,22.70,-2.68,1.40,-1.28,0.81
284,Dakota Mathias,PHI,8.00,15.40,-0.12,-1.16,-1.28,0.09
285,Boban Marjanovic,DAL,33.00,8.20,-0.36,-0.95,-1.30,0.20
286,Deni Avdija,WAS,54.00,23.30,-1.39,0.07,-1.32,0.87
287,Chuma Okeke,ORL,45.00,25.20,-1.06,-0.26,-1.32,0.79
288,Dario Saric,PHX,50.00,17.40,0.45,-1.77,-1.32,0.65
